article;Após a leitura completa, o artigo deve ser excluído? ;Qual a afiliação dos autores do trabalho? ;Tipo de SoS;Quais as dominio de aplicação?;Quais as contribuições reportadas nas pesquisas? e.g., tecnica, modelo, notação, ferramenta, etc;Quais metodologias são empregadas para a definição do comportamento emergente?;Qual o nível de comportamento emergente? (Meier, 1998);Como o comportamento emergente é descrito ou especificado? e.g., modelo conceitual, linguagem formal, etc ;Observações adicionais
Harnessing Emergence: The Control and Design of Emergent Behavior in System of Systems Engineering;;"Integrity Systems and Solutions, LLC  Colorado Springs, CO 80915
Dunip Technologies, LLC Littleton, CO 80162";Directed;Modelagem de comportamentos emergentes.;Aplicando a teoria de Controle, é possível classificar e utilizar abordagens de Engenharia de Controle para garantir o comportamento do software em ambientes reais e simulados.;"When the knowledge of the parts is so complete, the prediction [of the behavior of the whole] can also be complete, and no extra property can emerge. Often, however, the knowledge is not, for whatever reason, complete . . . and a new property can, if we please, be said to  ""emerge"".";not defined;Emergent behavior is the lack of understanding of the system.;
Towards an understanding of emergence in systems-of-systems;;"Institut für Technische Informatik, Vienna University of Technology, 1040 Vienna, Austria
Institut für Technische Informatik, Vienna University of Technology, 1040 Vienna, Austria
Institut für Technische Informatik, Vienna University of Technology, 1040 Vienna, Austria
Resiltech S.R.L., Piazza Nilde Iotti 25, Pontedera, Italy
Dipartimento di, Matematica e Informatica, Università di Firenze";Not defined;Improve the understanding about emergent behaviors.;After a brief elaboration on the literature of emergence this paper gives a tentative definition of emergence in multi-level systems.;Formal definition as a phenomena.;Spooky emergence;Emergence is a systemic phenomenon in an System-of-Systems. It can't be divided in isolated parts and behaviors.;
Towards a Reference Architecture for Large-Scale Smart Grids System of Systems;;"CITSEM-Technical University of Madrid (UPM) Madrid, Spain 
Indra Software Labs Madrid, Spain";Not defined;Energy generation from smart grids.;In this paper, we present an architecture for Large-Scale Smart Grid SoS based on our previous experience in several industrial projects. This architecture decomposes these two dimensions into software components that support the behavior management of each system and the emergent behavior that leverage their interactions;This architecture decomposes these two dimensions into software components that support the behavior management of each system and the emergent behavior that leverage their interactions.;not defined;Pieces that compose system layers. And all the pieces together achieve the goals.;
Enabling emergent behavior in systems-of-systems through bigraph-based modeling;;"Department of Business Information Systems Communications Engineering, Johannes Kepler University, Linz, Austria
Department of Business Information Systems Communications Engineering, Johannes Kepler University, Linz, Austria";Not defined;Emergent behavior in general system-of-systems.;"This paper is an initial attempt for such a modeling approach. Bigraphs have been introduced and conceptually transferred for the purpose of
modeling of SoS.";Bigraphs-based modeling to guarantee emergent behavior.;not defined;The emergent behavior is described in formal language.;
Validating Emergent Behavior in Complex Systems;;The University of Adelaide, Adelaide, Australia;Not defined;Flock of Birds model;O artigo reporta várias contribuições de outros artigos. A principal contribuição do artigo é propor um processo de validação de comportamento emergente em duas etapas que consiste na identificação do comportamento emergente e na comparação do comportamento emergente do sistema e análise (sob validação) com um modelo de referencia (um SoS com um comportamento emergente já identificado e mapeado).;"We propose to divide the validation step into two main steps (identifying emergent behavior and behavior comparison):

- identifying emergent behavior: techniques that could be used to identify that the system exhibits an emergent property. 
In order for the behavior comparison to be effective, detailed information about the system must be recorded. This includes:

* 1.system states—all system states and their evolution over time must be recorded 
* 2.interactions—both direct and indirect (see Chan 2011b) interactions must be recorded, including entity states before and after the interaction;
* 3.emergent behavior causes—depending on the methods used in the behavior com-parison, the causes of emergent behaviors, in terms of micro-properties, would have to be recorded. This would be the case if Bayesian classification were to be employed for comparison. 

- behavior comparison: a formal representation of the model is compared with a reference model using graph-based techniques. The hyp";Weak emergence;using interaction graphs and Hausdorff Distances to compare between two emergent properties in the Flock of Birds model (domain).;"Apesar do domínio da aplicação ser ""Flock of Birds model"" a ideia pode ser certamente abstraída para Sistemas de Informação.

#### Nível do comportamento emergente #####
Uma vez que no processo de ""Identifying Emergent Behavior"" ... ""detailed information about the system must be recorded. This includes:
* 1.system states—all system states and their evolution over time must be recorded 
* 2.interactions—both direct and indirect (see Chan 2011b) interactions must be recorded, including entity states before and after the interaction;
* 3.emergent behavior causes—depending on the methods used in the behavior com-parison, the causes of emergent behaviors, in terms of micro-properties, would have to be recorded. This would be the case if Bayesian classification were to be employed for comparison. 

Dá definição: Weak Emergence: An emergent property that is readily and consistently reproduced in simulations of the system, but not in reduced complexity nonsimulation models. It can be understoo"
Simulating systems of systems using situation/reaction paradigm;;"LSI, Faculty of Electronics and Computer Science, 
University of Science and Technology Houari Boumediene, Algiers, Algeria
IRISA, Université Bretagne Sud, Vannes, France";Directed;Telediabetes system - health care home system - telemedicine systems (consist in monitoring patients into their home);"- we propose an approach for constructing a simulated SoS which mainly allows the identification of emerging misbehaviors. A simulated SoS constructed with our approach promotes dynamic simulations. Thus, the definition of the SoS must be centered on its most stable part in order to facilitate dynamic changes as much as possible.

- The SoS Simulation Framework (SoS_SF) has been implemented using Drools. 

- Our main purpose is to propose a way to construct simulated SoS which allows the identification of emergent misbehavior.  The aim of this work was not to find all the emerging behavior , but to show that our approach makes possible the identification of emerging misbehaviors.

 - The objective of this study concerns at the first place the construction of a simulated SoS from heterogeneous simulated systems, and then figure out whether this collaboration generate undesirable emergent behaviors beside of the desirable ones.

- We proposed a SoS simulation approach (SoS_FS) based on a";"- SoS operate in a naturally evolving environment (systems may disappear while others appear). This makes it even more difficult to master emerging behaviors during the construction of the SoS. In system engineering, simulation is considered as the best way to handle emergent behaviors.

- The simulation should be realistic enough to allow identification of emerging behaviors. Thus, we must be able to dynamically add or remove systems to the SoS. This implies the emergence of new behaviors dynamically during the execution of the SoS

- We propose to inspect the SoS states to detect and try to master the emergent behaviors. We define the SoS State as a view on the SoS at a precise moment of its execution/simulation. Formally it consists of theset of facts describing the SoS in the same time frame";Weak emergence;"- We propose a conceptual model for modeling the mission and its environment. During the stimulation of the SoS, all the facts will be kept in a log file with their dating. The identification of emergent misbehaviors will be achieved thanks to invariants checking on all the states that the SoS will pass through. 

- During the runtime, the state changes are tracked and stored in a Log file. The study of the evolution of the fact basis, through Log file analysis, allows the SoS designer to adjust the mission [..] after runtime step, and is about identifying the impact of the emergent behavior on the fulfillment of the mission. The designer of the SoS can refine the definition of the mission while exploiting favorable emergent behaviors and avoiding unfavorable ones.

- The emerging behavior is that which results from the coexistence of several systems in a same environment. We distinguish two kinds of emergent behaviors. Good behavior which are beneficial for the accomplishment of the m";
Refining Missions to Architectures in Software-intensive Systems-of-systems;;UFRN – Federal University of Rio Grande do Norte;Collaborative;A Flood Monitoring SoS;M2Arch, a model-based process to refine mission models in mKAOS towards the automatic generation of ar-chitecture descriptions in SosADL. M2Arch basically relies on a model-to-model (M2M) transformation [15] supported by an integrated tool for describing both mission models and architectural models. In addition, M2Arch comes with mod-eling tools sustaining the whole SoS design process, includ-ing validation and simulation of the resulting architectures.;"The Emergent Behavior Model in mKAOS specifies emergent behav-iors of the SoS and how these behaviors are related to the co-operation among constituent systems. 

- Specifically, M2Arch proposes using a simula-tion tool that will execute the architecture in a simulated en-vironment. The architect can follow the execution of the ar-chitecture and identify how constituent systems behave and if the expected emergent behaviors arise.  Moreover, it is neces-sary to identify possible undesirable behaviors and then mod-ify the models to avoid them.

- In the M2Arch approach, we have chosen a constructive ap-proach in which the refinement will produce a single archi-tecture capable of achieving the required missions and emerge the desired behaviors.

-Regarding future work, the most important one concerns the validation and verification activities. For validation pur-poses, we intend to implement a simulation mechanism for SosADL to enable the architect to observe emergent behav-iors and valid";not defined;comportamento emergente é descrito brevemente em linguagem formal.;
Formal Modeling Systems-of-systems Missions with mKAOS;;IRISA – UMR CNRS / University of South Britanny;Collaborative;a flood monitoring system for tropical areas;DynBLTL, a simulation-aimed for-malism in conformance with LTL. DynBLTL was built to support formalization and simulation of dynamic systems: systems that can change its architectural configuration at runtime, such as SoS. How-ever, we are aware that LTL is limited regarding expressiveness and in the future DynBLTL might be extended to meet any additional need of SoS.;"Since mKAOS was designed to be part of a development process, providing a mechanism to formally describe missions and emergent behaviors on the mission model allow the generation of constraints, that might be used in the verification of artifacts during the whole development process.

From interaction between constituent systems, the emergent behavior is defined in the Emergent Behavior Model. This model encompasses a single element: the Emergent Behavior, when overlapped with the Communicational Capabilities Model it is pos-sible to establish which set of cooperation interactions results on each behavior. (MKaos)

The work focuses on the definition of predcted desirable emergent behaviors (simple emergence) - Although it is not possible to describe non-predicted emergent behavior, it is possible to specify a non-desirable one.";Simple emergence;Comportamento emergente é definido por meio de definições formais utilizando o DynBLTL, um extensão do MKAOS... Besides the mission and emergent behavior formal definitions, we also introduced DynBLTL constructs into the mKAOS constraint system;
System of Systems Hazard Analysis Using Simulation and Machine Learning;;Department of Computer Science University of York, York, YO10 5DD, UK;Directed;Military system of systems;"Approach (técnica?) to performing hazard analysis, using simulation (multi-agent simulation) combined with machine learning. 

hypothesis is that the machine learning algorithm will learn rules that cover all the hazards that were identified by manual analysis.";"here an SoS Hazard was define as a ""Condition of an SoS configuration, physical or otherwise, that can lead to an accident"", 
[my interpretation] thus, in this case, an accident is an emergent behavior (misbehavior) of the SoS due to a given configuration.

SoS hazard analysis (methodoly) is the process of finding the conditions (configuration ... i.e crusters) that can lead an SoS to accidents (emergent misbehavior)

Describes the problems faced in SoS hazard analysis, multi-agent simulation as a possible solution";Weak emergence;"multi-agent simulation: “Multi-agent simulation is based on the idea that it is possible to represent in computerised form the behaviour of entities which are active in the world, and that it is possible to represent a phenomenon as the fruit of the interactions of an assembly of agents with their own operational autonomy.

such simulations “make it possible to model complex situations whose overall structures emerge from interactions between individuals”

multi-agent simulation, different lev-els of behaviour can be observed. Analysts can examine both the top-level emergent behaviour and the low-level interactions between individual agents. That is, the simula-tions can both predict overall behaviour and explain why it occurs";"- O artigo não fala explicitamente o termo comportamento emergente, mas conforme postulado acima, abstraí a ideia de análise de desastres (hazard analysis), como o processo de encontrar as condições (nesse caso os sistemas constituintes e suas relações) que geram um acidente (um comportamento emergente que não é desejado)

###### Level emergence #######
-  in a multi-agent simulation (used in the paper), different levels of behaviour can be observed. Analysts can examine both the top-level emergent behaviour and the low-level interactions between individual agents. That is, the simula-tions can both predict overall behaviour and explain why it occurs 
######
- Weak Emergence: An emergent property that is readily and consistently reproduced in simulations of the system, but not in reduced complexity nonsimulation models. It can be understood through reduced complexity models of the system after observation, but not consistently predicted in advance.
############################

######"
Agent-Based Modeling the Emergent Behavior of A System-of-Systems;;Queens University Belfast, Northern Ireland \ California State University Fullerton, CA  \ Southern California Edison;Virtual;Agent-based World Model SoS [..] The Agent-Based World Model of the interaction of autonomous, adaptive agents, interacting and collaborating characteristic to natural and human systems, is shown in Figure 3;Simple and conceptual agent-based models - were presented in this paper to simulate the four principles of emergent behaviors.;OpEMCSS (Operational Evaluation Modeling for Context Sensitive System) (Clymer 2007) simulates multi-agent systems that learn (Classifier Systems) and can perform fuzzy control. OpEMCSS will be used to simulate and study these four principles.;Strong emergence;"There are four Principles of Emergence introduced by (Hsu 2007). OpEMCSS (Operational Evaluation Modeling for Context Sensitive System) will be used to simulate and study these four principles.

The modeling efforts for emergent behavior presented in the above is conceptual and only at the beginning stage for this new endeavor to integrate emergent behavior into architecture models.";"- Conceptual agent-based modeling was presented to simulate the four principles of emergence.

- Understanding and responding to emergent SoS behavior – both positive and negative – is another important aspect of System-of-Systems
Engineering (SoSE). This will place a premium on the discovery and clever use of design principles that produce emergent behavior through voluntary collaboration. To address such challenges, traditional Systems Engineering is necessary but not sufficient for the engineering of a system-of-systems. 

- The behavior and/or performance of the SoS cannot be represented in any form that is simpler than the SoS itself. There is no simple way (i.e. simpler than the SoS itself) to relate the functions of the parts to the functions of the whole. The traditional hierarchical functional decomposition is no longer valid due to the non-linear characteristics of emergent behavior; however, since the emergent behavior is nonexistent in each component system, the hierarchica"
KR14 Emergent Behavior in Systems of Systems;;"Department of Systems Engineering (1 University Circle Monterey)
Naval Postgraduate School (1 University Circle Monterey)";Directed;"North American power grid. An electric power transmission system contains many components such as generators, transmission lines, transformers, and substations

the electrical power grid SoS that evolved under one set of operating principles, is now adapting to a new set of operating principles, with the emergence of new behaviors that include an increase in grid problems and failures, and unexpected increasing costs of electricity to consumers.";a system modeling and simulation approach that has promise of allowing systems engineers to analyze potential emergent behavior in large scale systems of systems;In our approach we model an agent as a rule-based algorithm, with some probability of design error, whose behavior is dependent on its inputs. We model a person as a probabilistic rule-based algorithm whose behavior is dependent on its inputs. We model a system function as a rule-based with some probability of design error, whose behavior is dependent on its inputs.;Weak emergence;"In order for an SoS to provide more capability than any of the individual systems, the systems have to interact and, therefore, the key to understanding and engineering an SoS, as well as understanding emergent behavior, is clearly defining the system-to-system interfaces. [...] We have developed an engineering and analysis methodology that aims at providing clear elucidation of interfaces. Interactions that might result in emergent behavior occur at interfaces between systems, between systems and operators and/or between systems and software agents...  [..] Following the idea in (Klir 1991) we can consider each of these interface elements as elements that seek to satisfy a goal governed by a set of rules whose inputs are provided through the SoS interactions with the goal seeking element. In some cases the goal-seeking element may have probabilistic behavior and/or may adapt to changing input conditions. 

Simple model (visual model) of a highly abstracted power grid system [..] The e";"In an SoS the component systems may achieve goals that they couldn’t otherwise by interactions with other component systems. Operators and software agents, considered here as SoS elements, can also interact with component systems as well as with one another. Emergent behavior occurs as a result of these interactions. 

In this paper we do not attempt to resolve the issue as to whether emergent behavior is always predictable and therefore amenable to systems engineering analysis, but we will restrict ourselves to discussing cases in which emergent behavior may be analyzable. 

[Power Grid] - If not managed properly, failure of a single element can cause the subsequent rapid failure of many additional elements, disrupting interconnected transmission systems over a broad geographic area. DIRECTED.

If systems engineers are to be successful in analyzing emergent behavior, an approach is needed that allows analysis of dynamic behavior of SoS, with the ability to model and simulate the impor"
10.2.2 Mathematical Models of Emergence in Complex Systems-of-systems;;William J Hughes Technical Center, Federal Aviation Administration;;;;;not defined;;
